"code_commune_insee","nom_de_la_commune","code_postal","latitude","longitude"
"01001","L ABERGEMENT CLEMENCIAT","01400","46.15170180297285","4.930600521664882"
"01002","L ABERGEMENT DE VAREY","01640","46.00713099777772","5.42467488805381"
"01004","AMBERIEU EN BUGEY","01500","45.957470664713995","5.370568254510258"
"01005","AMBERIEUX EN DOMBES","01330","45.99922938293103","4.911871787269484"
"01006","AMBLEON","01300","45.74831432147182","5.592784714407381"
"01007","AMBRONAY","01500","46.00987321008654","5.362654637706747"
"01008","AMBUTRIX","01500","45.93472676596578","5.335917851427022"
"01009","ANDERT ET CONDON","01300","45.784075995724834","5.660669034960654"
"01010","ANGLEFORT","01350","45.90857775167538","5.794775495547619"
"01011","APREMONT","01100","46.204506491253824","5.661899149597586"
"01012","ARANC","01110","45.99714981477952","5.514012480864003"
"01013","ARANDAS","01230","45.88854030522959","5.498196083251845"
"01014","ARBENT","01100","46.283812915508975","5.68791827947166"
"01015","ARBOYS EN BUGEY","01300","45.7188735548063","5.640431765610853"
"01016","ARBIGNY","01190","46.480847349656365","4.9613271468358295"
"01017","ARGIS","01230","45.932208960624436","5.481943035722708"
"01019","ARMIX","01510","45.8522506386148","5.58366201504982"
"01021","ARS SUR FORMANS","01480","45.99039134831643","4.819468862503259"
"01022","ARTEMARE","01510","45.870063499940976","5.692033824903265"
"01023","ASNIERES SUR SAONE","01570","46.38586173591543","4.882011466650374"
"01024","ATTIGNAT","01340","46.28581726372718","5.182287987339513"
"01025","BAGE DOMMARTIN","01380","46.32767036450922","4.970409663369701"
"01026","BAGE LE CHATEL","01380","46.308102414386866","4.930520261362423"
"01027","BALAN","01360","45.82681753365454","5.107586651440575"
"01028","BANEINS","01990","46.111682926702805","4.9045303242960205"
"01029","BEAUPONT","01270","46.42743295814235","5.263440925596859"
"01030","BEAUREGARD","01480","46.00117796283527","4.7566679743771445"
"01031","BELLIGNAT","01100","46.24023325917565","5.637114075797013"
"01032","BELIGNEUX","01360","45.86221995180255","5.141523782764034"
"01033","VALSERHONE","01200","46.123350647728046","5.79442310304219"
"01034","BELLEY","01300","45.743003228736555","5.692723326895182"
"01035","BELLEYDOUX","01130","46.25188075336446","5.781627958493346"
"01036","VALROMEY SUR SERAN","01260","45.923622510078644","5.662563514315961"
"01037","BENONCES","01470","45.84204476299634","5.483438052165611"
"01038","BENY","01370","46.31889472635856","5.278891690146262"
"01040","BEREZIAT","01340","46.36985857756058","5.043100758734848"
"01041","BETTANT","01500","45.93663684958709","5.364770452737035"
"01042","BEY","01290","46.218174129099765","4.844020591070661"
"01043","BEYNOST","01700","45.83594448712938","4.996379391863267"
"01044","BILLIAT","01200","46.077837775828684","5.763208254702935"
"01045","BIRIEUX","01330","45.950909022357635","5.040067352350348"
"01046","BIZIAT","01290","46.22402754017341","4.939294472322583"
"01047","BLYES","01150","45.84415298662191","5.251480324207212"
"01049","LA BOISSE","01120","45.848272504053085","5.026246891574977"
"01050","BOISSEY","01190","46.37233662152506","4.997496840502068"
"01050","BOISSEY","01380","46.37233662152506","4.997496840502068"
"01051","BOLOZON","01450","46.19712290469505","5.470152307320847"
"01052","BOULIGNEUX","01330","46.02023856172837","4.995687580189966"
"01053","BOURG EN BRESSE","01000","46.202711533144964","5.246911351896918"
"01054","BOURG ST CHRISTOPHE","01800","45.884208139360354","5.139325617186907"
"01056","BOYEUX ST JEROME","01640","46.03564044403632","5.461609043990349"
"01057","BOZ","01190","46.4088750124662","4.916592747993724"
"01058","BREGNIER CORDON","01300","45.64057625958402","5.617366848714953"
