date,gazole,sp95,e10,sp98,e85,gplc
2026-01-01,1.649,1.717,1.696,1.806,0.776,0.983
2026-01-02,1.619,1.689,1.666,1.765,0.755,0.972
2026-01-03,1.624,1.689,1.671,1.773,0.760,0.971
2026-01-04,1.647,1.689,1.692,1.796,0.777,0.973
2026-01-05,1.633,1.702,1.680,1.780,0.762,0.977
2026-01-06,1.643,1.709,1.689,1.791,0.764,0.975
2026-01-07,1.644,1.707,1.687,1.791,0.768,0.972
2026-01-08,1.646,1.705,1.690,1.792,0.766,0.972
2026-01-09,1.643,1.705,1.688,1.791,0.769,0.973
2026-01-10,1.643,1.702,1.688,1.792,0.773,0.971
2026-01-11,1.664,1.697,1.710,1.821,0.763,1.017
2026-01-12,1.647,1.709,1.691,1.798,0.770,0.977
2026-01-13,1.650,1.719,1.693,1.797,0.774,0.973
2026-01-14,1.657,1.723,1.698,1.803,0.774,0.975
2026-01-15,1.665,1.726,1.703,1.807,0.776,0.973
2026-01-16,1.664,1.726,1.699,1.803,0.773,0.971
2026-01-17,1.671,1.714,1.705,1.811,0.781,0.978
2026-01-18,1.683,1.710,1.715,1.823,0.793,0.973
2026-01-19,1.666,1.722,1.698,1.809,0.758,0.995
2026-01-20,1.676,1.727,1.699,1.808,0.780,0.972
2026-01-21,1.677,1.723,1.699,1.808,0.779,0.972
2026-01-22,1.686,1.726,1.703,1.812,0.779,0.972
2026-01-23,1.679,1.726,1.698,1.805,0.775,0.970
2026-01-24,1.684,1.712,1.702,1.811,0.781,0.972
2026-01-25,1.697,1.708,1.713,1.823,0.795,0.973
2026-01-26,1.680,1.723,1.699,1.806,0.778,0.966
2026-01-27,1.688,1.728,1.704,1.812,0.781,0.973
2026-01-28,1.687,1.724,1.700,1.811,0.780,0.973
2026-01-29,1.692,1.726,1.704,1.815,0.781,0.973
2026-01-30,1.691,1.729,1.703,1.812,0.778,0.972
2026-01-31,1.698,1.718,1.706,1.818,0.780,0.973
2026-02-01,1.713,1.717,1.718,1.831,0.794,0.974
2026-02-02,1.692,1.728,1.700,1.808,0.775,0.970
2026-02-03,1.698,1.731,1.703,1.809,0.780,0.971
2026-02-04,1.699,1.728,1.704,1.812,0.780,0.973
2026-02-05,1.702,1.731,1.707,1.818,0.781,0.978
2026-02-06,1.700,1.733,1.706,1.815,0.777,0.974
2026-02-07,1.703,1.728,1.711,1.823,0.782,0.976
2026-02-08,1.713,1.722,1.720,1.832,0.790,0.974
2026-02-09,1.696,1.732,1.705,1.814,0.775,0.976
2026-02-10,1.699,1.737,1.711,1.819,0.780,0.971
2026-02-11,1.698,1.738,1.714,1.821,0.779,0.973
